NAME,LEVEL,HP,AC,SPEED,STR,DEX,CON,INT,WIS,CHA,HITBONUS,DMG
Adult Black Dragon,14,195,19,80,23,14,21,14,13,17,11,2d10 + 6
Djinni,11,161,17,30,21,15,22,15,16,20,9,2d6 + 5
Gynosphinx,11,136,17,40,18,15,16,18,18,18,9,2d8 + 4
Kraken,23,472,18,60,30,11,25,22,18,20,17,3d8 + 10
Lich,21,135,17,30,11,16,16,20,14,16,12,3d6
Pit Fiend,20,300,19,60,26,14,24,22,18,24,14,4d6 + 8
Planetar,16,200,19,120,24,20,24,19,22,25,12,4d6 + 7
Rakshasa,13,110,16,40,14,17,18,13,16,20,7,2d6 + 2
Terrasque,30,676,25,40,30,11,30,3,11,11,19,4d12 + 10
Vampire,13,144,16,30,18,18,18,17,15,18,9,1d8 + 4
